Unnamed: 0,Total,Monthly,Makebed,Sunlight,Early,Meditate,Journal,Gratitude,Workout,Cold,Read,Goal
1,0,0,89,89,11,11,34,42,11,11,17,23
2,0,0,56,51,8,11,25,33,11,11,14,13
3,0,0,42,27,3,10,24,32,11,9,12,12
4,0,0,34,25,3,9,12,25,11,8,11,12
5,0,0,28,22,2,8,11,25,10,6,11,11
1,1107673559200956437,1107673559200956437,292088878767144964,292088878767144964,427672592187523082,292088878767144964,805663187994804274,274242068619198464,695319772341993492,695319772341993492,292088878767144964,805663187994804274
2,1107673559200956437,1107673559200956437,255126904238112768,695319772341993492,759687256478187552,427672592187523082,255126904238112768,805663187994804274,274242068619198464,427672592187523082,255126904238112768,308550443770839040
3,1107673559200956437,1107673559200956437,274242068619198464,255126904238112768,695319772341993492,434117344701186048,292088878767144964,292088878767144964,427672592187523082,434117344701186048,263859206828982273,263859206828982273
4,1107673559200956437,1107673559200956437,805663187994804274,308550443770839040,263859206828982273,695319772341993492,308550443770839040,255126904238112768,263859206828982273,805663187994804274,805663187994804274,427672592187523082
5,1107673559200956437,1107673559200956437,695319772341993492,274242068619198464,255126904238112768,255126904238112768,427672592187523082,308550443770839040,318796930379415566,263859206828982273,427672592187523082,695319772341993492
